NAMESPACE                    NAME                                                              READY   STATUS      RESTARTS         AGE     IP             NODE                       NOMINATED NODE   READINESS GATES
ingress-nginx                ingress-nginx-controller-7c8b5d9fbf-g58r2                         1/1     Running     0                32h     10.42.7.28     k3d-agent-0-0              <none>           <none>
jenkins                      jenkins-0                                                         2/2     Running     0                6h20m   10.42.8.193    k3d-agent-1-0              <none>           <none>
k8up-system                  k8up-f79f94c8b-46vpb                                              1/1     Running     1 (3d19h ago)    5d4h    10.42.0.203    cb50aad492c3               <none>           <none>
kserve                       kserve-controller-manager-bdf5c766c-s8ppz                         2/2     Running     2 (3d19h ago)    5d5h    10.42.0.234    cb50aad492c3               <none>           <none>
kserve                       kserve-localmodelnode-agent-66js8                                 1/1     Running     0                31h     10.42.8.105    k3d-agent-1-0              <none>           <none>
kserve                       kserve-localmodelnode-agent-f7mrg                                 1/1     Running     0                31h     10.42.9.77     k3d-agent-2-0              <none>           <none>
kserve                       kserve-localmodelnode-agent-kfdnt                                 1/1     Running     0                31h     10.42.13.35    k3d-agent-3-0              <none>           <none>
kserve                       kserve-localmodelnode-agent-ndlpc                                 1/1     Running     0                31h     10.42.10.182   k3d-aiot-hetzner-agent-3   <none>           <none>
kserve                       kserve-localmodelnode-agent-rp7rd                                 1/1     Running     0                31h     10.42.7.29     k3d-agent-0-0              <none>           <none>
kube-system                  coredns-ccb96694c-sjbrz                                           1/1     Running     2 (3d19h ago)    5d7h    10.42.0.222    cb50aad492c3               <none>           <none>
kube-system                  local-path-provisioner-5cf85fd84d-rhlcg                           1/1     Running     2 (3d19h ago)    5d7h    10.42.0.215    cb50aad492c3               <none>           <none>
kube-system                  metrics-server-5985cbc9d7-gvgv5                                   1/1     Running     2 (3d19h ago)    5d7h    10.42.0.200    cb50aad492c3               <none>           <none>
kube-system                  sealed-secrets-7b89988467-lwpq4                                   1/1     Running     2 (3d19h ago)    5d6h    10.42.0.219    cb50aad492c3               <none>           <none>
kubeflow                     admission-webhook-deployment-6d94b6d755-zqrss                     1/1     Running     0                5d5h    10.42.7.10     k3d-agent-0-0              <none>           <none>
kubeflow                     cache-deployer-deployment-899fb5df6-2hc4t                         1/1     Running     2 (3d19h ago)    5d6h    10.42.0.227    cb50aad492c3               <none>           <none>
kubeflow                     cache-server-7875bb868d-lwtjf                                     1/1     Running     6 (3d19h ago)    5d6h    10.42.0.194    cb50aad492c3               <none>           <none>
kubeflow                     centraldashboard-864599b868-n4psl                                 1/1     Running     2 (3d19h ago)    5d6h    10.42.0.197    cb50aad492c3               <none>           <none>
kubeflow                     jupyter-web-app-deployment-6d4445847c-2r6tt                       1/1     Running     2 (3d19h ago)    5d6h    10.42.0.206    cb50aad492c3               <none>           <none>
kubeflow                     katib-controller-7d6984668d-bs7c7                                 1/1     Running     2 (3d19h ago)    5d6h    10.42.0.213    cb50aad492c3               <none>           <none>
kubeflow                     katib-db-manager-676776f9c-z9z27                                  1/1     Running     2 (3d19h ago)    5d6h    10.42.0.199    cb50aad492c3               <none>           <none>
kubeflow                     katib-mysql-5c9cd9b95f-g4lj9                                      1/1     Running     2 (3d19h ago)    5d6h    10.42.0.242    cb50aad492c3               <none>           <none>
kubeflow                     katib-ui-587f8695f7-d45wd                                         1/1     Running     2 (3d19h ago)    5d6h    10.42.0.191    cb50aad492c3               <none>           <none>
kubeflow                     metadata-envoy-deployment-f6dc94cd7-w6r2g                         1/1     Running     2 (3d19h ago)    5d6h    10.42.0.230    cb50aad492c3               <none>           <none>
kubeflow                     metadata-grpc-deployment-7ff86cf699-l8jcx                         1/1     Running     24 (3d19h ago)   5d6h    10.42.0.235    cb50aad492c3               <none>           <none>
kubeflow                     metadata-writer-849bcf87d4-v8t2g                                  1/1     Running     14 (3d19h ago)   5d6h    10.42.0.229    cb50aad492c3               <none>           <none>
kubeflow                     ml-pipeline-57c7c864b5-zdn5v                                      1/1     Running     1 (5d2h ago)     5d6h    10.42.9.54     k3d-agent-2-0              <none>           <none>
kubeflow                     ml-pipeline-persistenceagent-7b7955b4fb-t55f9                     1/1     Running     1 (5d2h ago)     5d6h    10.42.9.47     k3d-agent-2-0              <none>           <none>
kubeflow                     ml-pipeline-scheduledworkflow-78494b8ff8-9ct7r                    1/1     Running     18 (3d19h ago)   5d6h    10.42.0.205    cb50aad492c3               <none>           <none>
kubeflow                     ml-pipeline-ui-79749d4f59-tmzdw                                   1/1     Running     0                5d6h    10.42.9.42     k3d-agent-2-0              <none>           <none>
kubeflow                     ml-pipeline-viewer-crd-567569d4cb-vn6nq                           1/1     Running     0                5d2h    10.42.10.6     k3d-aiot-hetzner-agent-3   <none>           <none>
kubeflow                     ml-pipeline-visualizationserver-854dc8bb4-xrm4l                   1/1     Running     0                5d6h    10.42.9.63     k3d-agent-2-0              <none>           <none>
kubeflow                     mysql-67cf6889fd-sglcm                                            1/1     Running     0                5d6h    10.42.9.51     k3d-agent-2-0              <none>           <none>
kubeflow                     profiles-deployment-7bb9c8bc49-8vlnn                              2/2     Running     4 (3d19h ago)    5d6h    10.42.0.208    cb50aad492c3               <none>           <none>
kubeflow                     seaweedfs-7989dbd69f-rtlbz                                        1/1     Running     0                5d6h    10.42.9.60     k3d-agent-2-0              <none>           <none>
kubeflow                     tensorboard-controller-deployment-7f75fd4c8-jjkrp                 2/2     Running     0                6h8m    10.42.9.186    k3d-agent-2-0              <none>           <none>
kubeflow                     tensorboards-web-app-deployment-69db6c8fb8-52djb                  1/1     Running     2 (3d19h ago)    5d6h    10.42.0.217    cb50aad492c3               <none>           <none>
kubeflow                     training-operator-fbf5fb9c-cb9dp                                  1/1     Running     2 (3d19h ago)    5d6h    10.42.0.216    cb50aad492c3               <none>           <none>
kubeflow                     volumes-web-app-deployment-79b5784b9d-6hpl6                       1/1     Running     2 (3d19h ago)    5d6h    10.42.0.221    cb50aad492c3               <none>           <none>
kubeflow                     workflow-controller-5c54f5685-4mf5p                               1/1     Running     4 (3d19h ago)    5d6h    10.42.0.193    cb50aad492c3               <none>           <none>
litmus                       chaos-litmus-auth-server-665994b566-6m5nz                         1/1     Running     0                23m     10.42.9.7      k3d-agent-2-0              <none>           <none>
litmus                       chaos-litmus-frontend-55c676bb4b-kkmr9                            1/1     Running     0                5d4h    10.42.7.4      k3d-agent-0-0              <none>           <none>
litmus                       chaos-litmus-server-f77989f54-g7kb8                               1/1     Running     0                23m     10.42.10.69    k3d-aiot-hetzner-agent-3   <none>           <none>
litmus                       chaos-mongodb-0                                                   1/1     Running     1 (3d19h ago)    5d4h    10.42.0.247    cb50aad492c3               <none>           <none>
litmus                       chaos-mongodb-1                                                   1/1     Running     0                5d2h    10.42.8.7      k3d-agent-1-0              <none>           <none>
litmus                       chaos-mongodb-2                                                   1/1     Running     0                5d2h    10.42.10.16    k3d-aiot-hetzner-agent-3   <none>           <none>
litmus                       chaos-mongodb-arbiter-0                                           1/1     Running     0                5d2h    10.42.13.9     k3d-agent-3-0              <none>           <none>
local-ai                     ollama-7dd4c9d5cd-7c6fj                                           1/1     Running     0                20m     10.42.9.9      k3d-agent-2-0              <none>           <none>
mlflow                       mlflow-6b7c5c45b5-8pqxp                                           1/1     Running     0                6h19m   10.42.8.194    k3d-agent-1-0              <none>           <none>
nfs-provisioner              nfs-provisioner-nfs-server-provisioner-0                          1/1     Running     0                6h20m   10.42.13.136   k3d-agent-3-0              <none>           <none>
node-problem-detector        node-problem-detector-2pj68                                       1/1     Running     0                5d5h    172.18.0.3     k3d-agent-2-0              <none>           <none>
node-problem-detector        node-problem-detector-9djjn                                       1/1     Running     0                5d5h    172.18.0.5     k3d-aiot-hetzner-agent-3   <none>           <none>
node-problem-detector        node-problem-detector-cbh6j                                       1/1     Running     1 (5d2h ago)     5d2h    172.18.0.4     k3d-agent-3-0              <none>           <none>
node-problem-detector        node-problem-detector-ggdsz                                       1/1     Running     1 (3d19h ago)    5d5h    172.18.0.6     cb50aad492c3               <none>           <none>
node-problem-detector        node-problem-detector-kb4pg                                       1/1     Running     0                5d5h    172.18.0.2     k3d-agent-1-0              <none>           <none>
node-problem-detector        node-problem-detector-krx7d                                       1/1     Running     0                5d5h    172.18.0.7     k3d-agent-0-0              <none>           <none>
notebook-controller-system   notebook-controller-deployment-64879db89b-qtqqj                   1/1     Running     2 (3d19h ago)    5d6h    10.42.0.202    cb50aad492c3               <none>           <none>
oauth2-proxy                 oauth2-proxy-6f854f4478-x5dxl                                     1/1     Running     0                2d13h   10.42.8.101    k3d-agent-1-0              <none>           <none>
observability-logs           alloy-87gfn                                                       2/2     Running     0                125m    10.42.7.104    k3d-agent-0-0              <none>           <none>
observability-logs           alloy-kwrz5                                                       2/2     Running     0                125m    10.42.13.142   k3d-agent-3-0              <none>           <none>
observability-logs           alloy-vf6xn                                                       2/2     Running     0                125m    10.42.8.225    k3d-agent-1-0              <none>           <none>
observability-logs           alloy-x6pv2                                                       2/2     Running     0                125m    10.42.10.68    k3d-aiot-hetzner-agent-3   <none>           <none>
observability-logs           alloy-zdqt2                                                       2/2     Running     0                125m    10.42.9.247    k3d-agent-2-0              <none>           <none>
observability-logs           loki-0                                                            2/2     Running     0                6h19m   10.42.13.137   k3d-agent-3-0              <none>           <none>
observability-logs           loki-canary-4n6jq                                                 1/1     Running     0                5d5h    10.42.10.3     k3d-aiot-hetzner-agent-3   <none>           <none>
observability-logs           loki-canary-5m5l4                                                 1/1     Running     0                5d5h    10.42.8.2      k3d-agent-1-0              <none>           <none>
observability-logs           loki-canary-6qr5w                                                 1/1     Running     2 (3d19h ago)    5d6h    10.42.0.218    cb50aad492c3               <none>           <none>
observability-logs           loki-canary-cnc6l                                                 1/1     Running     0                5d5h    10.42.9.43     k3d-agent-2-0              <none>           <none>
observability-logs           loki-canary-shwmv                                                 1/1     Running     0                5d2h    10.42.13.2     k3d-agent-3-0              <none>           <none>
observability-logs           loki-canary-x9vdg                                                 1/1     Running     0                5d5h    10.42.7.5      k3d-agent-0-0              <none>           <none>
observability-logs           loki-gateway-56c648b9b-s9nnn                                      1/1     Running     3 (3d19h ago)    5d6h    10.42.0.233    cb50aad492c3               <none>           <none>
puppet                       puppet-puppetserver-puppetdb-7b5dc8dd-2d958                       1/1     Running     0                5d6h    10.42.10.7     k3d-aiot-hetzner-agent-3   <none>           <none>
puppet                       puppet-puppetserver-puppetserver-master-767f954b98-97wt6          1/1     Running     0                5d5h    10.42.7.24     k3d-agent-0-0              <none>           <none>
qdrant                       qdrant-0                                                          1/1     Running     0                5d4h    10.42.8.4      k3d-agent-1-0              <none>           <none>
