LAST SEEN   TYPE     REASON                       OBJECT                                                  MESSAGE
42m         Normal   ReconciliationSucceeded      kustomization/kubeflow-notebook-controller              Reconciliation finished in 3.232611753s, next run in 30m0s
37m         Normal   ArtifactUpToDate             helmchart/aiot-cloudbeaver                              artifact up-to-date with remote revision: '1.0.0+53a118bf6f45'
35m         Normal   Progressing                  kustomization/flux-system                               CustomResourceDefinition/authorizationpolicies.security.istio.io configured...
35m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 3.849092264s, next run in 10m0s
30m         Normal   GitOperationSucceeded        gitrepository/flux-system                               no changes since last reconcilation: observed revision 'main@sha1:53a118bf6f459d5210b473a84986c827f60f6152'
28m         Normal   Progressing                  kustomization/kubeflow-authz-crd                        Health check passed in 271.920504ms
28m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 4.111177011s, next run in 30m0s
27m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 5.069886603s, next run in 30m0s
27m         Normal   ChartPackageSucceeded        helmchart/aiot-cloudbeaver                              packaged 'cloudbeaver-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 7.363178468s, next run in 10m0s
27m         Normal   ChartPackageSucceeded        helmchart/victoriametrics-victoriametrics               packaged 'victoriametrics-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/observability-logs-alloy                      packaged 'alloy-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/blackbox-exporter-blackbox-exporter           packaged 'blackbox-exporter-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/zabbix-zabbix                                 packaged 'zabbix-overlay' chart with version '1.0.1+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/observability-logs-loki                       packaged 'loki-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/chaos-theater-aiot-chaos-theater              packaged 'aiot-chaos-theater' chart with version '0.1.0+cad61595bdc3'
27m         Normal   Progressing                  kustomization/kubeflow-profiles                         Health check passed in 43.147185ms
27m         Normal   ReconciliationSucceeded      kustomization/kubeflow-profiles                         Reconciliation finished in 2.454045676s, next run in 30m0s
27m         Normal   ChartPackageSucceeded        helmchart/jenkins-jenkins                               packaged 'jenkins-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/terrakube-terrakube                           packaged 'terrakube-overlay' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ChartPackageSucceeded        helmchart/aiot-ml-aiot-ml-platform                      packaged 'aiot-ml-platform' chart with version '1.0.0+cad61595bdc3'
27m         Normal   ReconciliationSucceeded      kustomization/kubeflow-ingress                          Reconciliation finished in 1.409776753s, next run in 30m0s
27m         Normal   Progressing                  kustomization/kubeflow-ingress                          Health check passed in 60.527232ms
25m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 3.273139413s, next run in 10m0s
22m         Normal   GitOperationSucceeded        gitrepository/kubeflow-katib                            no changes since last reconcilation: observed revision 'v0.17.0@sha1:5723604d419c5ba5bf01240b7be5ebf55aaee0bc'
19m         Normal   GitOperationSucceeded        gitrepository/flux-system                               no changes since last reconcilation: observed revision 'main@sha1:cad61595bdc3191ce018c1e85725332a7bad8dd4'
19m         Normal   ArtifactUpToDate             helmchart/terrakube-terrakube                           artifact up-to-date with remote revision: '1.0.0+cad61595bdc3'
19m         Normal   ArtifactUpToDate             helmchart/observability-logs-loki                       artifact up-to-date with remote revision: '1.0.0+cad61595bdc3'
19m         Normal   GitOperationSucceeded        gitrepository/kubeflow-pipelines                        no changes since last reconcilation: observed revision '2.15.0@sha1:8fe8d7bdd88f027bde080f619762a0b3294796db'
18m         Normal   ArtifactUpToDate             helmchart/flux-ui-weave-gitops                          artifact up-to-date with remote revision: '4.0.36'
18m         Normal   ReconciliationSucceeded      kustomization/kubeflow-training-operator                Reconciliation finished in 7.321220249s, next run in 30m0s
18m         Normal   Progressing                  kustomization/kubeflow-training-operator                ClusterRole/kubeflow-training-admin configured
18m         Normal   ArtifactUpToDate             helmchart/observability-logs-alloy                      artifact up-to-date with remote revision: '1.0.0+cad61595bdc3'
18m         Normal   ReconciliationSucceeded      kustomization/kubeflow-tensorboards-web-app             Reconciliation finished in 840.800333ms, next run in 30m0s
